flux,startwl,endwl
2.34E+11,1754,1770
2.60E+11,1770,1786
2.81E+11,1786,1802
3.11E+11,1802,1818
3.62E+11,1818,1835
3.93E+11,1835,1852
4.60E+11,1852,1869
5.86E+11,1869,1887
6.61E+11,1887,1905
7.18E+11,1905,1923
8.67E+11,1923,1942
1.07E+12,1942,1961
1.30E+12,1961,1980
6.05E+11,1980,2000
5.26E+12,2000,2020
1.03E+13,2020,2041
1.36E+13,2041,2062
1.71E+13,2062,2083
2.60E+13,2083,2105
3.44E+13,2105,2128
3.81E+13,2128,2151
3.71E+13,2151,2174
4.23E+13,2174,2200
4.13E+13,2200,2222
4.43E+13,2222,2247
4.78E+13,2247,2273
4.02E+13,2273,2299
3.57E+13,2299,2326
2.60E+13,2326,2353
2.39E+13,2353,2381
3.94E+13,2381,2410
5.58E+13,2410,2439
6.77E+13,2439,2469
6.78E+13,2469,2500
7.34E+13,2500,2532
1.05E+14,2532,2564
1.44E+14,2564,2597
1.86E+14,2597,2632
2.63E+14,2632,2667
2.94E+14,2667,2703
2.63E+14,2703,2740
2.62E+14,2740,2778
2.85E+14,2778,2817
3.48E+14,2817,2857
5.20E+14,2857,2899
7.63E+14,2899,2941
8.24E+14,2941,2985
8.58E+14,2985,3030
1.00E+15,3030,3077
9.97E+14,3077,3125
1.05E+15,3125,3175
1.04E+15,3175,3225
1.21E+15,3225,3275
1.37E+15,3275,3325
1.29E+15,3325,3375
1.27E+15,3375,3425
6.62E+14,3425,3450
3.12E+15,3450,3550
3.20E+15,3550,3650
3.51E+15,3650,3750
3.62E+15,3750,3850
3.60E+15,3850,3950
4.71E+15,3950,4050
5.88E+15,4050,4150
6.15E+15,4150,4250
5.56E+15,4250,4350
6.48E+15,4350,4450
7.36E+15,4450,4550
7.74E+15,4550,4650
7.90E+15,4650,4750
8.22E+15,4750,4850
7.70E+15,4850,4950
7.96E+15,4950,5050
8.14E+15,5050,5150
7.70E+15,5150,5250
8.08E+15,5250,5350
8.27E+15,5350,5450
8.42E+15,5450,5550
8.41E+15,5550,5650
8.51E+15,5650,5750
8.64E+15,5750,5850
8.54E+15,5850,5950
8.58E+15,5950,6050
8.49E+15,6050,6150
8.34E+15,6150,6250
8.30E+15,6250,6350
8.30E+15,6350,6450
8.21E+15,6450,6550
7.85E+15,6550,6650
8.19E+15,6650,6750
8.12E+15,6750,6850
8.04E+15,6850,6950
7.95E+15,6950,7050
7.86E+15,7050,7150
7.71E+15,7150,7250
7.67E+15,7250,7350
7.55E+15,7350,7450
7.54E+15,7450,7550
7.49E+15,7550,7650
7.37E+15,7650,7750
7.32E+15,7750,7850
7.22E+15,7850,7950
7.15E+15,7950,8050
7.07E+15,8050,8150
6.94E+15,8150,8250
6.88E+15,8250,8350
6.78E+15,8350,8450
6.66E+15,8450,8550
